response_id,age_group,gender,employment_status,income,education,location_type,household_size,health_consciousness,exercise_frequency,fitness_goal,hydration_importance,daily_water_intake,bottle_type,monthly_beverage_spend,interest_level,purchase_likelihood,willingness_to_pay_continuous,willingness_to_pay_category,weekly_usage,purchase_preference,sustainability_importance,early_adopter_score,premium_willingness_score,health_condition_Diabetes (Type 1 or 2),health_condition_High blood pressure,health_condition_High cholesterol,health_condition_Heart disease,health_condition_Kidney disease,health_condition_Food allergies,health_condition_None of the above,barrier_I forget to drink,barrier_Plain water is boring/tasteless,barrier_I don't feel thirsty,barrier_It's inconvenient to carry water,barrier_I prefer other beverages,"barrier_Health reasons (frequent bathroom trips, etc.)",barrier_Nothing prevents me,consume_location_At home,consume_location_At work/school,consume_location_At the gym,consume_location_During commute,consume_location_Restaurants/cafes,consume_location_Outdoor activities,beverage_Plain water,"beverage_Flavored water (e.g., LaCroix, Hint)","beverage_Sports drinks (e.g., Gatorade, Powerade)","beverage_Energy drinks (e.g., Red Bull, Monster)","beverage_Enhanced water (e.g., Vitaminwater, Smartwater)",beverage_Coffee,beverage_Tea,beverage_Soda/soft drinks,beverage_Juice,beverage_Protein shakes,beverage_Pre-workout drinks,"beverage_Electrolyte tablets/powders (e.g., Nuun, Liquid I.V.)","beverage_Squeeze flavor enhancers (e.g., MiO, Crystal Light)",beverage_Kombucha,beverage_Coconut water,priority_Taste/flavor variety,"priority_Nutritional benefits (vitamins, minerals)",priority_Low/zero sugar,priority_Natural ingredients,priority_Caffeine content,priority_Electrolytes,priority_Protein content,priority_Convenience/portability,priority_Price/affordability,priority_Brand reputation,priority_Environmental sustainability,priority_No artificial ingredients,used_product_Cirkul (flavor cartridge bottle),used_product_Air Up (scent-based bottle),used_product_MiO/liquid flavor drops,"used_product_Dissolvable tablets (Nuun, Liquid I.V.)","used_product_Powder packets (Crystal Light, etc.)",used_product_Pre-flavored bottled water,used_product_None of the above,appealing_Convenience/ease of use,appealing_Portion control,appealing_No mixing required,appealing_Flavor variety,appealing_Nutritional customization,appealing_Portability,appealing_Hygiene (single-use),appealing_Helps me drink more water,appealing_Health benefits,appealing_Nothing appeals to me,concern_Price/cost per use,concern_Environmental waste (single-use plastic),concern_Powder might not dissolve well,concern_Artificial ingredients,concern_Limited flavor options,concern_Not compatible with my bottle,concern_Prefer other methods,concern_No concerns,price_15_perception,price_25_perception,price_35_perception,price_45_perception,price_60_perception,"flavor_Citrus (lemon, lime, orange)","flavor_Berry (strawberry, blueberry, raspberry)","flavor_Tropical (mango, pineapple, coconut)",flavor_Mint/herbal,flavor_Green tea/matcha,flavor_Coffee-flavored,flavor_Neutral/unflavored (just nutrients),flavor_Sour/tangy,flavor_Sweet/dessert-inspired,"benefit_rank_Energy boost (caffeine, B-vitamins)",benefit_rank_Hydration/electrolytes,"benefit_rank_Immunity support (Vitamin C, zinc)",benefit_rank_Focus/mental clarity,benefit_rank_Recovery (post-workout),benefit_rank_Digestive health (probiotics),benefit_rank_Antioxidants,"benefit_rank_Skin health (collagen, biotin)",benefit_rank_Weight management,benefit_rank_General vitamins/minerals,specialized_Sugar-free (for diabetics),specialized_Keto-friendly,specialized_Vegan,specialized_Organic/natural only,"specialized_Allergen-free (gluten, dairy, soy)",specialized_Kid-friendly formulas,"specialized_Senior-optimized (bone health, etc.)",specialized_Athletic performance,specialized_None - prefer standard versions,"discovery_Social media (Instagram, TikTok, Facebook)",discovery_Friends/family recommendations,discovery_Health/fitness influencers,discovery_Online reviews,discovery_In-store displays,discovery_TV/online ads,discovery_Health blogs/websites,discovery_Nutritionist/doctor recommendation
144,25-34,Female,Self-employed,"$100,000 - $149,999",Bachelor's degree,Suburban area,1 (Just me),2,4-6 times per week,Weight loss,2,08-Oct,Stainless steel/insulated bottles,$40-$59,3,Probably would not purchase,1.94,$1.51 - $2.00,01-Feb,Individual caps (as needed),4,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Too Cheap,Too Cheap,Bargain,Bargain,Acceptable,1,1,0,1,0,0,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
145,25-34,Male,Self-employed,"$100,000 - $149,999",High school or less,Urban area (city),1 (Just me),3,Once a week,General fitness/health,2,08-Oct,Reusable plastic bottles,$40-$59,3,Might or might not purchase,1.68,$1.51 - $2.00,Nov-15,Individual caps (as needed),3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,Bargain,Bargain,Bargain,Acceptable,Acceptable,1,0,0,1,1,0,1,1,0,0,0,0,0,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
146,18-24,Female,Employed full-time,"$25,000 - $49,999",Bachelor's degree,Urban area (city),1 (Just me),2,Never,No specific goal,1,02-Apr,Disposable plastic bottles,Less than $20,4,Might or might not purchase,1.28,$1.01 - $1.50,03-May,"Multi-packs (e.g., 10-pack, 20-pack)",3,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,Too Cheap,Acceptable,Acceptable,Bargain,Too Expensive,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
147,35-44,Male,Employed full-time,"$50,000 - $74,999",High school or less,Rural area,3,5,Rarely,Weight loss,3,Nov-13,Reusable plastic bottles,$60-$79,4,Probably would purchase,2.16,$2.01 - $2.50,01-Feb,Variety packs (multiple flavors),2,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,Too Cheap,Too Cheap,Bargain,Bargain,Acceptable,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
148,35-44,Female,Employed full-time,"$25,000 - $49,999",Bachelor's degree,Suburban area,2,5,Once a week,No specific goal,3,05-Jul,Glass bottles,$40-$59,5,Definitely would not purchase,0.49,$0.25 - $0.50,06-Oct,Monthly subscription (recurring delivery),2,3,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,Acceptable,Too Expensive,Too Expensive,Expensive,Expensive,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
149,18-24,Female,Homemaker,"$25,000 - $49,999",Bachelor's degree,Suburban area,2,3,2-3 times per week,General fitness/health,4,02-Apr,I don't carry a water bottle,$20-$39,2,Definitely would not purchase,0.35,$0.25 - $0.50,Nov-15,Variety packs (multiple flavors),2,4,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Expensive,Too Expensive,Too Expensive,Too Expensive,Too Expensive,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
150,25-34,Female,Employed full-time,"$50,000 - $74,999",High school or less,Suburban area,4,4,2-3 times per week,Stress management,5,02-Apr,Stainless steel/insulated bottles,$20-$39,3,Might or might not purchase,1.53,$1.51 - $2.00,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",2,2,4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,Bargain,Bargain,Bargain,Acceptable,Expensive,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
151,55-64,Male,Retired,"Less than $25,000",Some college,Suburban area,4,3,4-6 times per week,General fitness/health,3,08-Oct,Stainless steel/insulated bottles,$40-$59,4,Might or might not purchase,1.27,$1.01 - $1.50,Nov-15,Monthly subscription (recurring delivery),1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,Too Cheap,Bargain,Acceptable,Acceptable,Expensive,0,0,1,0,1,1,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
152,25-34,Female,Employed part-time,"$50,000 - $74,999",High school or less,Urban area (city),5+,1,Rarely,General fitness/health,2,Less than 2,Stainless steel/insulated bottles,$40-$59,4,Probably would purchase,1.17,$1.01 - $1.50,Nov-15,Monthly subscription (recurring delivery),3,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,Bargain,Bargain,Acceptable,Bargain,Too Expensive,1,1,1,0,1,1,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
153,18-24,Female,Employed full-time,"$25,000 - $49,999",Master's degree,Suburban area,2,2,Once a week,Weight loss,1,Less than 2,Reusable plastic bottles,Less than $20,4,Definitely would purchase,0.5,$0.25 - $0.50,03-May,Individual caps (as needed),3,4,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,Acceptable,Too Expensive,Too Expensive,Too Expensive,Too Expensive,0,1,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
154,35-44,Male,Self-employed,"$100,000 - $149,999",Master's degree,Urban area (city),3,3,2-3 times per week,Muscle building,2,05-Jul,Reusable plastic bottles,$60-$79,1,Might or might not purchase,2.44,$2.01 - $2.50,03-May,"Multi-packs (e.g., 10-pack, 20-pack)",2,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,Bargain,Bargain,Bargain,Too Cheap,Acceptable,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
155,65+,Male,Employed full-time,"$75,000 - $99,999",High school or less,Urban area (city),2,2,Rarely,Weight loss,2,02-Apr,Stainless steel/insulated bottles,$20-$39,2,Probably would not purchase,1.57,$1.51 - $2.00,01-Feb,Variety packs (multiple flavors),1,2,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,Bargain,Acceptable,Bargain,Expensive,Expensive,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
156,25-34,Female,Retired,"$75,000 - $99,999",Doctoral or professional degree,Suburban area,1 (Just me),3,4-6 times per week,Weight loss,2,08-Oct,Stainless steel/insulated bottles,$40-$59,3,Probably would purchase,1.75,$1.51 - $2.00,03-May,"Multi-packs (e.g., 10-pack, 20-pack)",2,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,Too Cheap,Bargain,Bargain,Acceptable,Acceptable,1,1,1,1,0,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
157,35-44,Female,Retired,"$25,000 - $49,999",Bachelor's degree,Rural area,1 (Just me),3,2-3 times per week,Weight loss,2,Nov-13,Disposable plastic bottles,$100+,2,Might or might not purchase,0.25,$0.25 - $0.50,03-May,"Multi-packs (e.g., 10-pack, 20-pack)",2,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Too Expensive,Too Expensive,Too Expensive,Expensive,Too Expensive,1,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
158,45-54,Female,Employed full-time,"$50,000 - $74,999",Some college,Urban area (city),2,3,Rarely,General fitness/health,3,08-Oct,Other,$20-$39,3,Might or might not purchase,1.91,$1.51 - $2.00,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",4,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,Too Cheap,Bargain,Too Cheap,Bargain,Expensive,0,1,0,0,1,1,1,1,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
159,25-34,Female,Employed full-time,"$75,000 - $99,999",High school or less,Suburban area,2,3,Daily,Athletic performance,3,05-Jul,I don't carry a water bottle,$80-$99,5,Probably would not purchase,1.84,$1.51 - $2.00,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",2,3,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,Too Cheap,Too Cheap,Bargain,Bargain,Expensive,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
160,45-54,Female,Employed part-time,"$100,000 - $149,999",Bachelor's degree,Urban area (city),4,2,Once a week,Weight loss,2,02-Apr,Reusable plastic bottles,$40-$59,5,Probably would purchase,2.35,$2.01 - $2.50,03-May,Monthly subscription (recurring delivery),3,4,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Too Cheap,Bargain,Too Cheap,Bargain,Acceptable,1,0,1,0,1,1,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
161,25-34,Male,Retired,"Less than $25,000",Master's degree,Urban area (city),1 (Just me),2,Never,Weight loss,2,Nov-13,Stainless steel/insulated bottles,$20-$39,3,Might or might not purchase,0.75,$0.51 - $0.75,16-20,Individual caps (as needed),5,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,Acceptable,Acceptable,Too Expensive,Expensive,Too Expensive,1,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,35-44,Male,Employed full-time,"$50,000 - $74,999",Bachelor's degree,Urban area (city),3,2,Rarely,Stress management,2,Less than 2,I don't carry a water bottle,$40-$59,2,Might or might not purchase,1.25,$1.01 - $1.50,03-May,"Specialized bundles (e.g., diabetic-friendly pack)",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,Too Cheap,Bargain,Acceptable,Acceptable,Too Expensive,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
163,35-44,Male,Self-employed,"$100,000 - $149,999",High school or less,Urban area (city),2,4,4-6 times per week,Weight loss,3,Nov-13,Reusable plastic bottles,$80-$99,3,Probably would purchase,2.8,$2.51 - $3.00,16-20,Individual caps (as needed),2,3,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Bargain,Too Cheap,Too Cheap,Bargain,Too Cheap,1,0,0,1,0,1,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
164,35-44,Female,Self-employed,"$50,000 - $74,999",High school or less,Suburban area,2,1,2-3 times per week,Weight loss,1,02-Apr,Stainless steel/insulated bottles,Less than $20,4,Probably would purchase,1.63,$1.51 - $2.00,Nov-15,Monthly subscription (recurring delivery),2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,Too Cheap,Acceptable,Bargain,Acceptable,Expensive,0,1,1,1,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
165,18-24,Male,Self-employed,"$25,000 - $49,999",Bachelor's degree,Urban area (city),2,4,4-6 times per week,Weight loss,4,14+,Stainless steel/insulated bottles,$20-$39,4,Might or might not purchase,1.68,$1.51 - $2.00,Nov-15,"Multi-packs (e.g., 10-pack, 20-pack)",3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,Acceptable,Acceptable,Bargain,Acceptable,Acceptable,0,1,0,0,1,1,0,1,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
166,45-54,Female,Employed full-time,"$75,000 - $99,999",Some college,Suburban area,2,4,Once a week,Stress management,3,05-Jul,Stainless steel/insulated bottles,$60-$79,3,Might or might not purchase,1.69,$1.51 - $2.00,01-Feb,Individual caps (as needed),4,3,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,Bargain,Too Cheap,Acceptable,Acceptable,Acceptable,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,25-34,Female,Self-employed,"$25,000 - $49,999",Some college,Rural area,3,2,Once a week,Stress management,2,02-Apr,I don't carry a water bottle,$20-$39,2,Probably would not purchase,1.17,$1.01 - $1.50,01-Feb,Monthly subscription (recurring delivery),1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,Bargain,Bargain,Expensive,Too Expensive,Too Expensive,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
168,25-34,Female,Retired,"$25,000 - $49,999",Some college,Urban area (city),2,1,Once a week,Muscle building,1,05-Jul,Reusable plastic bottles,Less than $20,3,Might or might not purchase,1.27,$1.01 - $1.50,03-May,"Specialized bundles (e.g., diabetic-friendly pack)",4,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,Bargain,Bargain,Acceptable,Expensive,Expensive,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
169,18-24,Male,Employed full-time,"$25,000 - $49,999",Master's degree,Suburban area,1 (Just me),2,4-6 times per week,General fitness/health,4,05-Jul,Disposable plastic bottles,Less than $20,5,Definitely would purchase,0.7,$0.51 - $0.75,Nov-15,Variety packs (multiple flavors),2,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,Bargain,Acceptable,Too Expensive,Expensive,Too Expensive,1,1,0,1,0,1,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
170,35-44,Female,Employed full-time,"Less than $25,000",Master's degree,Urban area (city),1 (Just me),3,Daily,General fitness/health,1,05-Jul,Disposable plastic bottles,$40-$59,3,Might or might not purchase,1.56,$1.51 - $2.00,03-May,Individual caps (as needed),4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,Acceptable,Acceptable,Acceptable,Acceptable,Expensive,0,0,1,0,0,0,1,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
171,35-44,Male,Homemaker,"Less than $25,000",Bachelor's degree,Suburban area,2,2,Never,No specific goal,1,05-Jul,Disposable plastic bottles,$60-$79,3,Might or might not purchase,1.72,$1.51 - $2.00,06-Oct,"Multi-packs (e.g., 10-pack, 20-pack)",2,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,Bargain,Bargain,Bargain,Acceptable,Acceptable,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
172,18-24,Female,Employed full-time,"$50,000 - $74,999",Master's degree,Urban area (city),5+,2,Once a week,General fitness/health,2,05-Jul,Reusable plastic bottles,$40-$59,3,Might or might not purchase,2.01,$2.01 - $2.50,06-Oct,Individual caps (as needed),5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bargain,Bargain,Bargain,Bargain,Acceptable,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
173,35-44,Male,Retired,"Less than $25,000",Some college,Urban area (city),2,5,2-3 times per week,General fitness/health,4,Less than 2,Stainless steel/insulated bottles,$20-$39,4,Definitely would purchase,1.89,$1.51 - $2.00,03-May,Monthly subscription (recurring delivery),3,2,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,Bargain,Bargain,Bargain,Acceptable,Bargain,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
174,25-34,Male,Employed full-time,"$75,000 - $99,999",Bachelor's degree,Urban area (city),3,3,Daily,Muscle building,3,Less than 2,Reusable plastic bottles,$20-$39,5,Definitely would purchase,1.93,$1.51 - $2.00,Nov-15,Individual caps (as needed),4,2,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,Bargain,Too Cheap,Bargain,Bargain,Expensive,0,0,0,0,0,0,1,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
